  beta      REAL(total_wlkr_wt)    Raw_AFQMC_Energy
  0.50   453.1652138378411223   -63.9043564683123577
  1.00   470.3825741342853917   -64.0620111154430276
  1.50   459.5763411416844519   -63.8826954276014192
  2.00   419.1786422908847385   -63.8576699281829860
  2.50   447.4418382736071180   -63.9821595544185868
  3.00   452.2785272892888315   -63.9215265340070999
  3.50   483.9557273241795201   -63.8726159344572011
  4.00   502.0727642782586599   -63.9230687710339964
  4.50   458.6154257745159839   -63.7777098807257659
  5.00   464.1449438752131300   -63.8981817817543174
  5.50   493.7679003245264084   -63.9233129953051744
  6.00   411.7107725518969232   -63.9131510754617977
  6.50   507.4747224281074409   -64.0352548841551652
  7.00   479.3219126216386599   -63.8940279605696588
  7.50   429.4367210570931093   -63.8846771797308648
  8.00   416.1129371524494900   -63.8618339042015464
  8.50   437.2621346090103316   -63.9372717714216492
  9.00   426.6883581677000166   -63.9895791080052021
  9.50   396.7852132847582993   -63.8881059068811510
 10.00   424.1816723476969742   -63.8110961141667374
 10.50   403.0047465197530414   -63.9247346932238401
 11.00   437.1180900161778595   -63.8883679767282118
 11.50   427.5042701829707426   -63.9112862597804678
 12.00   439.0260698579704126   -63.9320400383340655
 12.50   478.3570774754672357   -63.8247022158732094
 13.00   477.3236465223187110   -63.8994870314124057
 13.50   390.0457976314350503   -63.8943639655866278
